✅ [accommodation - 1117108402] 87개 리뷰 저장 완료: ./data\accommodation_1117108402_20250429_1542.csv
✅ [accommodation - 24019548] 18개 리뷰 저장 완료: ./data\accommodation_24019548_20250429_1605.csv
⚠️  [accommodation - 2061129020] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 13148930] 리뷰 개수 8개로 저장하지 않음
⚠️  [accommodation - 1960969765] 리뷰 개수 5개로 저장하지 않음
⚠️  [accommodation - 225677199] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 24923454] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 1302905700] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 1071016303] 리뷰 개수 7개로 저장하지 않음
⚠️  [accommodation - 1452332383] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 27368430] 리뷰 개수 5개로 저장하지 않음
⚠️  [accommodation - 1368669089] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 778930022] 리뷰 개수 1개로 저장하지 않음
✅ [accommodation - 26993674] 65개 리뷰 저장 완료: ./data\accommodation_26993674_20250429_1610.csv
✅ [accommodation - 428137292] 20개 리뷰 저장 완료: ./data\accommodation_428137292_20250429_1611.csv
✅ [accommodation - 98373996] 13개 리뷰 저장 완료: ./data\accommodation_98373996_20250429_1611.csv
⚠️  [accommodation - 11195203] 리뷰 개수 5개로 저장하지 않음
⚠️  [accommodation - 824122628] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 16961104] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 16271348] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 961324803] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 1505103460] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 19790433] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 1110012841] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 1658265602] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 24049329] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 1564665140] 14개 리뷰 저장 완료: ./data\accommodation_1564665140_20250429_1617.csv
⚠️  [accommodation - 16498965] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 10105307] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 46589697] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 16791201] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 7928929] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 9788865] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 2079559365] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 14562254] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 14559645] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 14562223] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 8382821] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 14562221] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 8634426] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 1802786658] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 10452736] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 12399270] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 1841351082] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 276584057] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 14559380] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 26846543] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 23888573] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 12845978] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 18619512] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 550300590] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 16624159] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16052017] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 101424136] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 23887170] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16849879] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 352460553] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 19471179] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 18513932] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 2107138477] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 553669883] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 15958008] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 23490215] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16414794] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 27305736] 33개 리뷰 저장 완료: ./data\accommodation_27305736_20250429_1636.csv
✅ [accommodation - 26624442] 15개 리뷰 저장 완료: ./data\accommodation_26624442_20250429_1636.csv
✅ [accommodation - 1521154865] 11개 리뷰 저장 완료: ./data\accommodation_1521154865_20250429_1636.csv
✅ [accommodation - 1960436156] 25개 리뷰 저장 완료: ./data\accommodation_1960436156_20250429_1637.csv
⚠️  [accommodation - 1790738728] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 17589028] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 18294727] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 1107817277] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16535526] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 637068484] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 313522188] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 18425592] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 1249164552] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16646826] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 1820675401] 100개 리뷰 저장 완료: ./data\accommodation_1820675401_20250429_1642.csv
✅ [accommodation - 1388660164] 10개 리뷰 저장 완료: ./data\accommodation_1388660164_20250429_1643.csv
✅ [accommodation - 17969851] 12개 리뷰 저장 완료: ./data\accommodation_17969851_20250429_1643.csv
⚠️  [accommodation - 2023380498] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 20181036] 리뷰 개수 1개로 저장하지 않음
✅ [accommodation - 111253687] 10개 리뷰 저장 완료: ./data\accommodation_111253687_20250429_1644.csv
✅ [accommodation - 2125506166] 13개 리뷰 저장 완료: ./data\accommodation_2125506166_20250429_1644.csv
⚠️  [accommodation - 1152876677] 리뷰 개수 8개로 저장하지 않음
✅ [accommodation - 502900434] 11개 리뷰 저장 완료: ./data\accommodation_502900434_20250429_1645.csv
⚠️  [accommodation - 20746355] 리뷰 개수 7개로 저장하지 않음
✅ [accommodation - 12557204] 12개 리뷰 저장 완료: ./data\accommodation_12557204_20250429_1646.csv
⚠️  [accommodation - 1251485417] 리뷰 개수 4개로 저장하지 않음
✅ [accommodation - 1323016378] 11개 리뷰 저장 완료: ./data\accommodation_1323016378_20250429_1646.csv
⚠️  [accommodation - 23905501] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 2083851661] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 1325217497] 리뷰 개수 1개로 저장하지 않음
✅ [accommodation - 1016648779] 11개 리뷰 저장 완료: ./data\accommodation_1016648779_20250429_1648.csv
⚠️  [accommodation - 7867046] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16875743] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 17081577] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 1945827592] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 16046939] 리뷰 개수 6개로 저장하지 않음
⚠️  [accommodation - 16068018] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 1116082266] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 731249474] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 2019563854] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 1168755811] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 25973593] 17개 리뷰 저장 완료: ./data\accommodation_25973593_20250429_1654.csv
⚠️  [accommodation - 236761376] 리뷰 개수 7개로 저장하지 않음
⚠️  [accommodation - 18839784] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 8560250] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 25814021] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 10410877] 리뷰 개수 8개로 저장하지 않음
⚠️  [accommodation - 16097315] 리뷰 개수 3개로 저장하지 않음
✅ [accommodation - 513626132] 13개 리뷰 저장 완료: ./data\accommodation_513626132_20250429_1656.csv
⚠️  [accommodation - 16044570] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 16732401] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 1597441555] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 16270006] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16539618] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 16328065] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 1659034829] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 2108390728] 97개 리뷰 저장 완료: ./data\accommodation_2108390728_20250429_1659.csv
⚠️  [accommodation - 1787263603] 리뷰 개수 8개로 저장하지 않음
⚠️  [accommodation - 16938210] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 1821839394] 51개 리뷰 저장 완료: ./data\accommodation_1821839394_20250429_1700.csv
⚠️  [accommodation - 25072343] 리뷰 개수 9개로 저장하지 않음
⚠️  [accommodation - 1263491301] 리뷰 개수 6개로 저장하지 않음
⚠️  [accommodation - 735459590] 리뷰 개수 5개로 저장하지 않음
✅ [accommodation - 1307986452] 34개 리뷰 저장 완료: ./data\accommodation_1307986452_20250429_1702.csv
✅ [accommodation - 485733859] 23개 리뷰 저장 완료: ./data\accommodation_485733859_20250429_1702.csv
✅ [accommodation - 888851937] 12개 리뷰 저장 완료: ./data\accommodation_888851937_20250429_1703.csv
⚠️  [accommodation - 1976356901] 리뷰 개수 8개로 저장하지 않음
✅ [accommodation - 27082570] 18개 리뷰 저장 완료: ./data\accommodation_27082570_20250429_1703.csv
✅ [accommodation - 18602760] 11개 리뷰 저장 완료: ./data\accommodation_18602760_20250429_1704.csv
✅ [accommodation - 1966612974] 10개 리뷰 저장 완료: ./data\accommodation_1966612974_20250429_1704.csv
✅ [accommodation - 1670965227] 19개 리뷰 저장 완료: ./data\accommodation_1670965227_20250429_1704.csv
⚠️  [accommodation - 1063907768] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 1817737109] 리뷰 개수 7개로 저장하지 않음
✅ [accommodation - 1563405203] 13개 리뷰 저장 완료: ./data\accommodation_1563405203_20250429_1705.csv
⚠️  [accommodation - 16794751] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 9520995] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 192756472] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 49938530] 리뷰 개수 9개로 저장하지 않음
⚠️  [accommodation - 2019431811] 리뷰 개수 6개로 저장하지 않음
⚠️  [accommodation - 18552233] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 1334642635] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 13596354] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 16084784] 13개 리뷰 저장 완료: ./data\accommodation_16084784_20250429_1709.csv
⚠️  [accommodation - 396818223] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 1784049306] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 2064289528] 리뷰 개수 2개로 저장하지 않음
✅ [accommodation - 1197705393] 39개 리뷰 저장 완료: ./data\accommodation_1197705393_20250429_1710.csv
✅ [accommodation - 1098921244] 14개 리뷰 저장 완료: ./data\accommodation_1098921244_20250429_1710.csv
⚠️  [accommodation - 1277922253] 리뷰 개수 8개로 저장하지 않음
✅ [accommodation - 913968236] 13개 리뷰 저장 완료: ./data\accommodation_913968236_20250429_1711.csv
⚠️  [accommodation - 7858836] 리뷰 개수 5개로 저장하지 않음
⚠️  [accommodation - 916244551] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 383650975] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 149630792] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 23905257] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 1034420483] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 16470812] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 582381307] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 19009268] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 157856669] 13개 리뷰 저장 완료: ./data\accommodation_157856669_20250429_1716.csv
✅ [accommodation - 523881044] 10개 리뷰 저장 완료: ./data\accommodation_523881044_20250429_1717.csv
⚠️  [accommodation - 23106506] 리뷰 개수 5개로 저장하지 않음
⚠️  [accommodation - 27433993] 리뷰 개수 9개로 저장하지 않음
✅ [accommodation - 16414832] 11개 리뷰 저장 완료: ./data\accommodation_16414832_20250429_1718.csv
⚠️  [accommodation - 16766186] 리뷰 개수 6개로 저장하지 않음
⚠️  [accommodation - 1681123361] 리뷰 개수 9개로 저장하지 않음
⚠️  [accommodation - 1539346324] 리뷰 개수 7개로 저장하지 않음
⚠️  [accommodation - 20345254] 리뷰 개수 8개로 저장하지 않음
⚠️  [accommodation - 1398482011] 리뷰 개수 4개로 저장하지 않음
✅ [accommodation - 14589179] 18개 리뷰 저장 완료: ./data\accommodation_14589179_20250429_1720.csv
⚠️  [accommodation - 22399519] 리뷰 개수 5개로 저장하지 않음
⚠️  [accommodation - 379282506] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 19714773] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 16676947] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 1663748975] 리뷰 개수 3개로 저장하지 않음
✅ [accommodation - 391589894] 24개 리뷰 저장 완료: ./data\accommodation_391589894_20250429_1721.csv
