text,label,score
25.03.20 관람 사랑하는 대상과 마주한 예술가의 영원한 순간,LABEL_2,0.7577
참 야경이 멋진 건물이다.,LABEL_2,0.9839
낮에도물론 예쁘지만,LABEL_1,0.5453
", 건축미 굳굳",LABEL_2,0.9818
동대문역사문화공역에 위치한 DDP DDP통칭 동대문디자인플라자 오랜만에 방문하니 돔형태가 멋있고 웅장하며 여전히 UFO 같다,LABEL_2,0.9802
예전에는 몰랐지만,LABEL_1,0.8175
지금은 이 건물만 보면 동대문이구나!,LABEL_1,0.4512
하고 바로 떠올리게 된다,LABEL_2,0.9313
"내부도 넓고 다양한 전시와 판매,음식점도 많다.",LABEL_2,0.9793
외부에 팽이 의자가 생겼길래 앉아봤는데,LABEL_1,0.5462
생각보다 재밌다,LABEL_2,0.9705
외국인들도 많이 앉아보고 가더라,LABEL_2,0.7277
진짜 디자인이 good인곳,LABEL_0,0.4844
쿠키런 팝업?,LABEL_2,0.9175
전시회 있길래 지나가다가 들려서 체험도 하고 스탬프 다 받고 상품 뽑는 굿즈샵으로 갔는데,LABEL_2,0.9007
굿즈샵 여성 직원분이 너무 말하는 게 일하기가 싫은 건지 너무 싸가지 없으시더라고요,LABEL_0,0.7249
뽑기 뽑고 몇등인지 결과를 당연히 본인이 보고 직원을 드려도 될텐데 볼 시간조차 안 주고 저 주세요 주세요,LABEL_0,0.7308
그거 주세요,LABEL_2,0.6792
이러시니 너무 기분 나쁘더라구요,LABEL_0,0.5319
어떻게 해야되는지 상품을 어디서 가져가는지 조차 구경도 못하게 재촉하는 느낌이라 눈치보면서 상품 받고 나갔어요,LABEL_0,0.8544
다른 직원으로 쓰셔야할 것 같아요,LABEL_1,0.5224
근처 행사에 참석했다 오랜만에 들렀던 DDP. 역시나 실험적인 상상 이상의 작품들이 가득하다.,LABEL_2,0.7115
마침 10주년 전시가 있어 눈요기 잘하고 왔어요.,LABEL_2,0.9803
미나 페르호넨의 텍스타일이 작년부터 꽤 오랫동안 전시되었는데,LABEL_2,0.5395
이번 주말에 끝나기전에 다녀왔어요.,LABEL_2,0.9091
미니멀하면서 화사한 북유럽 디자인이 생각나는 쿠션과 의상 컬렉션이 눈길을 끌었어요.,LABEL_1,0.5295
천장 높은 곳까지 걸어놓은 옷들,LABEL_2,0.5474
어디에 시선을 고정하기 어려울 정도로 자세히 보면 볼수록 더 예쁘고 감각적이었어요.,LABEL_2,0.9189
"대량으로 찍어낸게 아니라 손의 미세한 흔들림과 물감의 번짐, 찰나의 다양한 표정까지 재현하려는 세심함 때문인지, 자연스럽고 따스한 터치가 전달되었던 작품들",LABEL_2,0.8605
스케치까지 아기자기한 느낌,LABEL_1,0.4267
다소 심란했던 일상에 기분전환이 되었고 관람하다가 좋은 소식도 들어서 더 좋았습니다.,LABEL_2,0.9858
서울의 랜드마크 중 하나인 동대문디자인플라자DDP를 방문했습니다.,LABEL_2,0.6226
"미래지향적인 곡선 디자인과 넓은 공간이 인상적이었고, 특히 해 질 무렵 조명이 켜지면서 더욱 환상적인 분위기를 자아냈습니다.",LABEL_2,0.8655
내부에서는 다양한 전시와 디자인 관련 이벤트가 열리고 있어 볼거리가 풍부했습니다.,LABEL_2,0.9726
디자인 장터에는 감각적인 소품과 기념품이 많아 구경하는 재미도 쏠쏠했습니다.,LABEL_2,0.979
"또한, 카페와 베이커리도 곳곳에 있어 쉬어가기 좋았습니다.",LABEL_2,0.9747
동대문디자인플라자DDP 야경은 서울의 밤을 더욱 빛나게 하는 명소 중 하나입니다.,LABEL_2,0.9463
"해가 지고 조명이 하나둘 켜지면, 건축가 자하 하디드의 곡선미가 더욱 돋보이며 미래적인 분위기를 자아냅니다.",LABEL_2,0.9283
특히 어울림,LABEL_2,0.6207
"광장 진입로와 살림터 앞은 야경 사진을 찍기 좋은 포인트로, 조명이 반사되는 곡면이 몽환적야경자랑",LABEL_2,0.6697
오랜만에 방문한 동대문 운동자역 오래전 고교축구 결승전 관람했던 기억이.,LABEL_2,0.8863
새록애록ᆢ 복합 문화공간으로 다양한 전시와 쇼핑센터도 있습니다,LABEL_2,0.9872
지금 간송유물전이 열리고 있네요,LABEL_2,0.8929
구름이 걷히고 달이 비치고 바람부니 별이 빛난다,LABEL_2,0.948
간송미술문화재단에서 개최한 이번 전시는 한국의 아름다운 보물을 미디어아트로 만나보실수 있는 기회입니다.,LABEL_2,0.9494
후회하지않으실겁니다.,LABEL_2,0.6111
미나페르호넨 디자인여정 전시중입니다.,LABEL_2,0.6797
페브릭디자인에 관심있으신분은 한번쯤 가서보면 좋을듯합니다.,LABEL_1,0.7242
관람객이 많지 않아 쾌적하게 보실수 있습니다.,LABEL_2,0.9742
동대문 오랜만에 갔다가 DDP도 들렷는데,LABEL_2,0.4816
무료전시랑 유료전시 다양하게 있고 무료전시도 퀄리티 좋아요 방문했던날 패션위크라 그런지 사람도 많고 볼거리 많아서 좋앗습니다!,LABEL_2,0.9905
가상현실과 우주공간에 있는 느낌이 드는 곳  동대문 디자인 플라자는 3가지 station으로 뮤지엄.,LABEL_2,0.5932
아트홀.,LABEL_1,0.4546
디자인랩 나뉘어져 있어서 다양하게 문화체험 할수있어요,LABEL_2,0.9851
"서울 굿즈, 대한민국 굿즈 파는 몰도 있어 구경하는 재미가 있습니다",LABEL_2,0.9869
"현대적이고 독특한 디자인의 복합건물 뮤지엄, 각종 음식점, 카페 ,문화공간등이 있어요.",LABEL_2,0.9679
동대문 디자인 플라자DDP 현대적이고 독특한 건축물로 방문할 때마다 새로운 매력을 느낍니다,LABEL_2,0.9866
내부 전시 공간은 다양한 디자인과 예술 작품으로 가득 차 있어 시각적으로 즐거움을 줍니다,LABEL_2,0.9749
"특히, DDP의 LED 장식은 밤에 더욱 빛나며, 사진 찍기 좋은 장소로 유명합니다",LABEL_2,0.8976
주변의 패션 시장과도 가까워 쇼핑과 문화 체험을 동시에 할 수 있어 좋았습니다,LABEL_2,0.9875
"또한, 다양한 이벤트와 프로그램이 진행되어 항상 활기찬 분위기를 자아냅니다",LABEL_2,0.9789
DDP는 디자인과 예술을 사랑하는 이들에게 꼭 추천하고 싶은 장소입니다,LABEL_2,0.9604
동대문 다녀왓어여,LABEL_2,0.5956
쇼핑거리도 많고 먹을거리 구경거리도 많고 오는 길에 귀여운 해치가 있어서 바로 ㅁ직엇네요,LABEL_2,0.9289
무료로 하는 전시 구경하고 왔어요!,LABEL_2,0.9825
독특하고 재미있어요!,LABEL_2,0.9919
구름이 걷히니 달이 비치고 바람부니 별이 빛난다,LABEL_2,0.9373
전시 정말 좋았습니다,LABEL_2,0.9825
남자친구와 카운트다운 할려고 동대문디자인플라자에 다녀왔는데,LABEL_1,0.4599
근처 먹거리도 많고 디자인플라자만의 인기 요소인 예술 정관판이 시간 가는 줄도 모르게 느껴질 정도로 매우 멋있고 신기했었습니다 D 덕분에 올해 새해는 인상깊은 날로 기억이 될 것 같네요!,LABEL_2,0.9868
사람이 부적였지만,LABEL_1,0.6178
경찰분들이 교통정리를 잘해주셔서 든든했습니다,LABEL_2,0.9907
전시관으로 추천드릴게요,LABEL_2,0.9772
연말 서울라이트 보러왔어요!,LABEL_2,0.947
20분동안 진행하고 추웠지만,LABEL_1,0.5559
관광객도 많고 좋았습니다!,LABEL_2,0.989
미디어아트 범벅 서울 좋아요,LABEL_2,0.9829
갤러리문 DDP10주년기념 오픈큐레이팅아카이브 둘레길갤러리 공산품의 미학,LABEL_2,0.8874
2024년 12월 현재 야간에 하는 미디어쇼 보고 왔어요!,LABEL_2,0.9409
7시부터 20분간 진행되고 5 cheers라는 콘셉트로 다섯 가지 영상물이 나옵니다.,LABEL_0,0.3703
요즘 핫한 인생녹음중 유튜브나 조구만 스튜디오와 콜라보한 영상을 비롯해 감각적인 아티스트들이 만든 다양한 영상들이 커다란 ddp 건물을 화폭 삼아 선명하게 펼쳐지니 추운 날씨에 벌벌 떨면서도 끝까지 재미있게 다 봤어요.,LABEL_2,0.959
동대문에 서울라이트DDP 구경했어요.,LABEL_2,0.9589
"저녁7시부터 30분 간격으로 대략 20분정도 나오고, 5개 섹션으로 나뉘어 진행되는데",LABEL_1,0.4344
완전 이쁘고 멋졌어요.,LABEL_2,0.9917
저는 지하에서 봤는데,LABEL_1,0.5101
"목이 부러지는 고통을 느껴서, 웬만하면 위로 올라가서 보세요.",LABEL_1,0.615
거기서도 잘 보여요.,LABEL_2,0.9789
"동대문 DDP 외관에 영상을 반사시켜서,멋지게 전광판처럼 보여준다네요.",LABEL_2,0.9674
12월19일 오후7시부터 12 월31일 오후9시반까지 빛의축제를 한답니다.,LABEL_2,0.9516
동대문에가니 옷도 많고 볼거리 먹거리 진짜 많아요,LABEL_2,0.9845
구름이 걷히니 달이 비치고 바람 부니 별이 빛난다,LABEL_2,0.9296
헥헥 전시 이름이 엄청 길어서 적다가 쓰러질 뻔 했네요,LABEL_1,0.5148
간송 미술관에서 처음으로 선보이는 미디어아트라는데,LABEL_2,0.7031
요  DDP뿐만 아니라 다른 미디어아트들이 사실 몇 개 보다보다면 정말 멋지지만,LABEL_2,0.8107
형식이 어느정도 비슷비슷하다는 느낌을 지울 수가 없었는데,LABEL_1,0.5168
요번건 소재가 한국 전통이라 그런지 의외로 신선하면서도 한국적인 매력이 가득했습니다,LABEL_2,0.9875
"직접 참여하는 곳도 있고, 사진 비스무리하게 나와서 기념으로 삼을 수도 있어 좋았네요",LABEL_2,0.9451
토요일임에도 생각보다 붐비지 않았던 점이 제일 좋았습니다  위로 올라가면 공산품 미학 이라고 가볍게 쓱 둘러볼 수 있는 전시가 있는데,LABEL_2,0.8582
애플의 위엄을 여기서도 느끼고 가네요,LABEL_2,0.9214
폭설에도불구하고,LABEL_2,0.6608
바깥에 단풍나무가 아직도 남아있어 멋졌습니다,LABEL_2,0.9861
건축물이 넘 멋있어요,LABEL_2,0.9765
DDP M2전시장에서 간송미술관 미디어아트 전시가 있어서 다녀왔어요.,LABEL_2,0.8046
사진찍기 좋고 참여형 이벤트도 있네요.,LABEL_2,0.9913
"신윤복, 김홍도, 한글 해례본 등등의 작품이 소개되니 외국인들이 더 좋아하는 거 같아요.",LABEL_2,0.9562
디디피 첨 생길때 흉물이라고 그랬던거같은데 어느덧 랜드마크로 자리잡았어요  외부창에 불껐다 켰다하는거 별거 아닌건데 이게 규모가 거대하니까 꽤나 장관인 볼거리를 연출합니다,LABEL_1,0.6122
디디피 쫌 멋있넹,LABEL_2,0.9285
구름이 걷히니 달이 비치고 바람 부니 별이 빛난다,LABEL_2,0.9296
전시 두 번째 방문!,LABEL_2,0.9345
"두 번째 방문 전에 보화각 오세창전 보고 관람하니 단순히 이쁘다가 아닌 작품해석을 미디어아트로 풀어낸, 이야기가 있는 전시였습니다.",LABEL_1,0.4679
"모네나 아르떼 등의 미디어아트와는 이야기도, 해상도도 차원이 다르다 느낀 최고의 미디어아트였습니다.",LABEL_2,0.9788
작품 앞에 해설과 큐알로 원작을 볼 수 있었고 안내해주시는 분들도 친절하셨습니다.,LABEL_2,0.9764
혜례본이 특히 인상깊었으며 각 공간마다 특유의 향취가 있는 것도 신기했어요!,LABEL_2,0.9778
내년 전시 내리기 전에 한 번 더 방문할꺼에요.,LABEL_2,0.8833
이런 좋은 전시를 기획한 간송에 무한감사를,LABEL_2,0.988
운좋게 DDP에서 시범운영한 루프탑투어를 하고 왔습니다.,LABEL_2,0.9518
내년까지 시설점검을 하고 상반기부터는 본격적으로 운영한다고 하는데,LABEL_2,0.5655
유료화된다고 하시더라고요.,LABEL_1,0.4719
아름다운 건축물에 대한 설명도 듣고 특별한 경험도 하고 왔습니다.,LABEL_2,0.9893
DDP 루프탑투어는 크게 실내 투어와 루프탑 투어 2가지로 보시면 되는데,LABEL_1,0.7884
", 사전 예약을 하고 방문했습니다.",LABEL_2,0.9219
실내 투어는 가이드님의 설명을 이어폰을 통해서 들을 수 있게 되는데,LABEL_2,0.5748
", 참가자 분들과 같이 투어를 하면서 DDP에 대한 설명을 듣게 됩니다.",LABEL_2,0.7125
"이번 루프탑투어는 일반인 통제구역을 다니면서 DDP의 구조나 설계, 그리고 DDP의 특별한 공간을 돌아보면서 몰랐던 DDP에 대해서 알아갈 수 있었는데",LABEL_2,0.8304
", 저도 DDP는 몇번이나 갔었지만",LABEL_1,0.7711
이번 투어가 가장 좋았지 않았나 합니다.,LABEL_2,0.7806
감사합니다.,LABEL_2,0.962
간송미술관 재미있었음,LABEL_2,0.9822
간송미술관의 한국작품 미디어아트 전시,LABEL_2,0.8136
진짜 멋있어요,LABEL_2,0.9857
DDP에서러닝과쇼핑,LABEL_2,0.7951
진짜 진짜 멋있었던 공연.,LABEL_2,0.9868
미디어 아트는 실망스러운 것도 많은데 DDP는 늘 퀄리티가 높은 듯.,LABEL_1,0.6808
공간 구성이 여전히 독특한 곳입니다.,LABEL_2,0.9663
구경 잘 하고 가구요.,LABEL_2,0.9861
요번에도 좋은 전시 감사합니다,LABEL_2,0.9881
"The DDP building is constantly illuminated at night, so you can enjoy a wonderful view even if you visit late at night.  Since Dongdaemun Market is open at night, there are restaurants nearby that are open until late at night. Even late at night, I saw a lot of foreign tourists.",LABEL_2,0.4712
간만에 돈 안 아까운 전시회 즐겼습니다.,LABEL_2,0.9156
다들 전시회 기간 잘 확인해서 꼭 방문하시면 좋겠습니다.,LABEL_2,0.7046
구름이 걷히니 달이 비치고후략 전시.,LABEL_1,0.6483
전통 예술을 현대의 기술로 구현하고 재해석 한 미디어아트 전시.,LABEL_2,0.9532
꽤 볼만함!,LABEL_2,0.9683
우리나라에서 가장 특별한 건축물 중의 하나가 바로 이 DDP가 아닐까 하는데,LABEL_2,0.6227
", 곡선의 아름다움을 느낄 수 있습니다.",LABEL_2,0.9848
그리고 시기에 따라서 이런 건축물에 미디어파사드로 더 화려함을 더해주는데,LABEL_2,0.8616
", 그럴때마다 가서 아름다운 건축물을 보고 옵니다.",LABEL_2,0.9009
동대문과 멀지 않아서 동대문 둘러보고 같이 오셔도 좋고요.,LABEL_2,0.9699
참고로 DDP의 외관에 붙어있는 타일은 모두 각각 다른 사이즈와 모양의 타일이라고 하더라고요.,LABEL_1,0.5652
아름다움과 화려함을 같이 느낄 수 있는 DDP에 가보시기 바랍니다.,LABEL_2,0.827
감사합니다.,LABEL_2,0.962
서울 도심쪽 가기좋습니다,LABEL_2,0.9685
디자인 론칭페어 그냥 팝업스토어인줄 알았어요,LABEL_2,0.78
표지를 좀 더 잘 만들면 좋았을텐데요,LABEL_1,0.8402
역시 스울은 문화 생활 할 곳이 많아 좋네,LABEL_2,0.9701
예 시골쥐는 부럽읍니디,LABEL_1,0.7277
"Designed by Zaha Hadid Dame Zaha Hadid, the worlds largest threedimensional unstructured architecture designed by the first woman to win the Pritzker Prize, it is a mustvisit place for anyone visiting Seoul, and it is also a mustvisit course for those interested in architecture.  It is directly connected to the Dongdaemun History and Culture Park subway station on lines 2, 4, and 5",LABEL_2,0.4928
가을 날씨에 취해 전시회 보러 동대문 갔습니다.,LABEL_2,0.7739
하늘도 푸르고 전시회도 재미있었어요.,LABEL_2,0.9922
올 가을 천천히 오래 머물다 가길 소망합니다.,LABEL_2,0.8697
서울시중구 동대문에위치한 대형문화복합공간입니다,LABEL_2,0.8918
2024 서울라이트DDP 가을축제는 2024년 8월29부터 9월8일까지 동대문디자인플라자에서 열리는미디어아트행사이고 올해주제는미래기록 빛으로기록된미래 DDP개관10주년을기념했어요ㆍ,LABEL_2,0.9728
아이와함께 주말에 오니 체험도하고 경험을통해 히링됬다고 좋아하더라구요ㆍ,LABEL_2,0.9851
가을되니 이곳저곳 축제가많아요ㆍ,LABEL_1,0.484
외국인 관광객들도 무척많았어요ㆍ,LABEL_1,0.4417
빛축제 너무 멋있고 진짜 아트매직이네요,LABEL_2,0.9863
서울라이트 미디어아트 보려고 다녀왔어요.,LABEL_2,0.6519
주말이라 사람들도 많고 외국인들도 많고 행사도 많아서 재미있었어요.,LABEL_2,0.9901
건물 외벽에 하는 미디어아트는 처음 보는 거라 신기했고 김환기 작가의 작품이 미디어아트로 재해석 된 거라 멋졌습니다.,LABEL_2,0.9856
최고!,LABEL_2,0.9844
"수 많은 사람들의 박수소리, 함성, 감탄이 나올정도로 정말 예술입니당",LABEL_2,0.9787
진짜 정말 힐링했습니당,LABEL_2,0.9905
정말 좋은 추억 간직합니다,LABEL_2,0.9915
서울 정말 매우 좋은 도시 서울 사랑해용,LABEL_2,0.9873
ddp 라이트쇼 9월8일 까지 하니 꼭 저녁에 방문 하셔서 무료로 과람 하세요!,LABEL_2,0.9774
진짜 멋있습니다.,LABEL_2,0.9892
2024 가을 서울라이트 넘 예뻐요,LABEL_2,0.9871
무료전시들도 많고 볼거리가 많아요,LABEL_2,0.9801
DDP 서울 라이트,LABEL_2,0.8402
김환기 작가님 작품으로 미디어아트가 진행되어 가을밤 낭만 가득했어요.,LABEL_2,0.9607
음향도 좋아서 멀리 건너편에서도 충분히 잘 보였어요,LABEL_2,0.9751
서울라이트2024 펠리체바리니 색 모양 움직임,LABEL_0,0.5139
2024 서울라이트 ddp 가을 미디어아트 전시를 개최하여 다녀왔습니다,LABEL_2,0.9057
ddp외벽을 캔버스 삼아 초대형 미디어아트를 진행하는데,LABEL_2,0.6011
웅장하고 정말 멋있어요,LABEL_2,0.9912
미디어 아트 외에 야외 전시와 설치 미술도 함께 볼수 있어서 볼거리가 풍부 합니다  가을 바람도 선선하게 불어서 야외에서 관람하기에도 좋았어요,LABEL_2,0.9811
건축물로만도 상당히 아름다운 곳인데 이렇게 미디어 파서드를 볼 수 있는 시즌에 가시면 더 아름다움을 느낄 수 있습니다.,LABEL_2,0.9087
동대문과 같이 연계해서 가기에도 좋고 실내에도 즐길 거리가 참 많아요.,LABEL_2,0.9658
추천해드려요.,LABEL_2,0.9921
더 자세한 정보는 유튜브 빵이네tv를 확인해주세요.,LABEL_1,0.4401
감사합니다.,LABEL_2,0.962
오랫만에 동대문 나갔다,LABEL_2,0.9699
전시회들러보고 왔어요,LABEL_2,0.836
좋았어요,LABEL_2,0.9626
전시회 관람 너무 좋았어요,LABEL_2,0.9652
서울 여행중에 동대문 플라자에서 다녀왔어요,LABEL_2,0.5694
라임시소 맛있었음 입에서 풀향나는중,LABEL_2,0.9584
멋진 전시가 열리는 곳!,LABEL_2,0.9802
다양한 전시와 체험공간 등이 있어요.,LABEL_2,0.9501
야외는 더운데 내부는 넓고 시원해요,LABEL_2,0.9096
평일 주차 힘드네욘 ㅠ,LABEL_1,0.5371
예약한 피크닠 가방 들고 룰루랄라 동대문을 휘젓고 다녔네요.,LABEL_0,0.46
너무 기분이 좋았어요.,LABEL_2,0.9532
8시30분 잔디광장에서 영화도 보고 ㅎ외국 가지 못한 설움?,LABEL_1,0.5397
확실하게 풀었어요 사랑해요 서울,LABEL_2,0.9903
무료로 체험전시 경험할수 있는 메가부푸 전시 너무 좋아요,LABEL_2,0.9927
아이가 놀기 좋고 재밌어요,LABEL_2,0.9905
매각 정시 진행되니 시간 참고해서 가시면 좋을것 같아요,LABEL_1,0.7829
미니언즈 팝업 보러 갔는데,LABEL_2,0.7024
사람 굉장히 많았다,LABEL_2,0.6819
그래도 좋은 경험!,LABEL_2,0.9312
주변에 놀 거리 많음!,LABEL_0,0.4404
제가 방문했을때는 헬로키티50주년 전시회를 하고 있었어요.,LABEL_2,0.4738
"까르띠에전, 그리고 진바비 패션쇼가 벌어진 특별한 주말이었어요",LABEL_2,0.9321
재밌게 관람하고 왔습니다,LABEL_2,0.9855
전시공간 쾌적하게 잘 관리되어있어요,LABEL_2,0.9911
